Madeleine cakes filled with nutella,"Ingredients : flour, chocolate, egg, butter, brown sugar, lemon, honey. Preheat oven at 200°C (392°F) (thermostat 6-7). Using a hand whisk, mix eggs, sugar and honey until the mixture whitens. Then add flour, yeast, melted butter and lemon zest. Mix...",15 min
Nutella surprise muffins,"Ingredients : baking powder, flour, milk, chocolate, egg, butter, salt, caster sugar, vanilla sugar. Preheat your oven to 180°C/356°F. In a bowl, mix the flour, baking powder and salt. In another bowl, whisk the eggs and add the caster sugar and...",10 min
